instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,temp_norm,atemp_norm,hum_norm,windspeed_norm
1,2011-01-01,Musim Dingin,2011,Januari,Tak Libur,Sabtu,Tak Kerja,Berkabut,0.344167,0.363625,0.805833,0.160446,331,654,985,0.35516959600347203,0.37351737876240565,0.8286200514138817,0.28460620119145374
2,2011-01-02,Musim Dingin,2011,Januari,Tak Libur,Minggu,Tak Kerja,Berkabut,0.363478,0.353739,0.696087,0.248539,131,670,801,0.3792320499775338,0.36054066910781774,0.7157706940874036,0.4662145544376673
3,2011-01-03,Musim Dingin,2011,Januari,Tak Libur,Senin,Kerja,Sedikit Berawan,0.196364,0.189405,0.437273,0.248309,120,1229,1349,0.17099980237661438,0.14483010827663623,0.4496380462724936,0.46574039733952516
4,2011-01-04,Musim Dingin,2011,Januari,Tak Libur,Selasa,Kerja,Sedikit Berawan,0.2,0.212122,0.590435,0.160296,108,1454,1562,0.17553043686730302,0.17464923767409474,0.6071311053984576,0.28429696830136103
5,2011-01-05,Musim Dingin,2011,Januari,Tak Libur,Rabu,Kerja,Sedikit Berawan,0.226957,0.22927,0.436957,0.1869,82,1518,1600,0.20912018218234535,0.19715830273143586,0.44931311053984574,0.3391425136881939
6,2011-01-06,Musim Dingin,2011,Januari,Tak Libur,Kamis,Kerja,Sedikit Berawan,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,0.1809482583099637,0.20232877201420163,0.5329161953727506,0.13848170361759188
7,2011-01-07,Musim Dingin,2011,Januari,Tak Libur,Jumat,Kerja,Berkabut,0.196522,0.208839,0.498696,0.168726,148,1362,1510,0.17119667813281042,0.17033985695428772,0.5127979434447301,0.3016758567245681
8,2011-01-08,Musim Dingin,2011,Januari,Tak Libur,Sabtu,Tak Kerja,Berkabut,0.165,0.162254,0.535833,0.266804,68,891,959,0.1319187187226103,0.10919075526917942,0.5509850899742931,0.5038688126879493
9,2011-01-09,Musim Dingin,2011,Januari,Tak Libur,Minggu,Tak Kerja,Sedikit Berawan,0.138333,0.116175,0.434167,0.36195,54,768,822,0.098690327643624,0.04870584689635328,0.44644421593830336,0.7000172964263193
10,2011-01-10,Musim Dingin,2011,Januari,Tak Libur,Senin,Kerja,Sedikit Berawan,0.150833,0.150888,0.482917,0.223267,41,1280,1321,0.11426594126672852,0.09427134580791631,0.4965727506426735,0.41411499711485716
11,2011-01-11,Musim Dingin,2011,Januari,Tak Libur,Selasa,Kerja,Berkabut,0.169091,0.191464,0.686364,0.122132,43,1220,1263,0.13701630554917993,0.14753282375092275,0.7057727506426734,0.20561987485138783
12,2011-01-12,Musim Dingin,2011,Januari,Tak Libur,Rabu,Kerja,Sedikit Berawan,0.172727,0.160473,0.599545,0.304627,25,1137,1162,0.14154694003986856,0.10685295232614674,0.6164987146529562,0.5818429167011119
13,2011-01-13,Musim Dingin,2011,Januari,Tak Libur,Kamis,Kerja,Sedikit Berawan,0.165,0.150883,0.470417,0.301,38,1368,1406,0.1319187187226103,0.09426478263289377,0.48371928020565547,0.5743656654186715
14,2011-01-14,Musim Dingin,2011,Januari,Tak Libur,Jumat,Kerja,Sedikit Berawan,0.16087,0.188413,0.537826,0.126548,54,1367,1421,0.12677253598153654,0.14352797435216208,0.5530344473007712,0.2147236911357155
15,2011-01-15,Musim Dingin,2011,Januari,Tak Libur,Sabtu,Tak Kerja,Berkabut,0.233333,0.248112,0.49875,0.157963,222,1026,1248,0.2170649911792185,0.22189097148641734,0.512853470437018,0.27948736608412
16,2011-01-16,Musim Dingin,2011,Januari,Tak Libur,Minggu,Tak Kerja,Sedikit Berawan,0.231667,0.234217,0.48375,0.188433,251,953,1204,0.21498907339553114,0.20365190809874795,0.4974293059125964,0.3423028738249408
17,2011-01-17,Musim Dingin,2011,Januari,Libur,Senin,Tak Kerja,Berkabut,0.175833,0.176771,0.5375,0.194017,117,883,1000,0.14541716851293757,0.12824627762965418,0.5526992287917737,0.3538145835467899
18,2011-01-18,Musim Dingin,2011,Januari,Tak Libur,Selasa,Kerja,Berkabut,0.216667,0.232333,0.861667,0.146775,9,674,683,0.1962983370478057,0.20117890375025066,0.8860329048843186,0.25642271558840934
19,2011-01-19,Musim Dingin,2011,Januari,Tak Libur,Rabu,Kerja,Berkabut,0.292174,0.298422,0.741739,0.208317,78,1572,1650,0.290383765674986,0.2879296385633262,0.7627136246786632,0.3832947857356228
20,2011-01-20,Musim Dingin,2011,Januari,Tak Libur,Kamis,Kerja,Berkabut,0.261667,0.25505,0.538333,0.195904,83,1844,1927,0.25237054609098203,0.23099803314770917,0.5535557840616966,0.3577047333041555
21,2011-01-21,Musim Dingin,2011,Januari,Tak Libur,Jumat,Kerja,Sedikit Berawan,0.1775,0.157833,0.457083,0.353242,75,1468,1543,0.1474943323457148,0.10338759591423975,0.4700082262210797,0.6820652963801405
22,2011-01-22,Musim Dingin,2011,Januari,Tak Libur,Sabtu,Tak Kerja,Sedikit Berawan,0.0591304,0.0790696,0.4,0.17197,93,888,981,0.0,0.0,0.41131105398457585,0.30836353336097194
23,2011-01-23,Musim Dingin,2011,Januari,Tak Libur,Minggu,Tak Kerja,Sedikit Berawan,0.0965217,0.0988391,0.436522,0.2466,150,836,986,0.046591395333247104,0.02595013772166467,0.44886580976863755,0.46221720394506954
24,2011-01-24,Musim Dingin,2011,Januari,Tak Libur,Senin,Kerja,Sedikit Berawan,0.0973913,0.11793,0.491739,0.15833,86,1330,1416,0.04767495962177924,0.051009521329268684,0.5056442159383033,0.2802439558885467
25,2011-01-25,Musim Dingin,2011,Januari,Tak Libur,Selasa,Kerja,Berkabut,0.223478,0.234526,0.616957,0.129796,186,1799,1985,0.2047851773987629,0.20405751231514158,0.6344030848329049,0.22141961398252175
26,2011-01-26,Musim Dingin,2011,Januari,Tak Libur,Rabu,Kerja,Petir/Hujan/Salju,0.2175,0.2036,0.8625,0.29385,34,472,506,0.19733629593964935,0.1634629621656587,0.8868894601542416,0.5596255643242551
27,2011-01-27,Musim Dingin,2011,Januari,Tak Libur,Kamis,Kerja,Sedikit Berawan,0.195,0.2197,0.6875,0.113837,15,416,431,0.16930019141806119,0.18459638573827314,0.7069408740359897,0.18851929602926415
28,2011-01-28,Musim Dingin,2011,Januari,Tak Libur,Jumat,Kerja,Berkabut,0.203478,0.223317,0.793043,0.1233,38,1129,1167,0.17986419560179562,0.18934418654958657,0.815468380462725,0.2080277682889093
29,2011-01-29,Musim Dingin,2011,Januari,Tak Libur,Sabtu,Tak Kerja,Sedikit Berawan,0.196522,0.212126,0.651739,0.145365,123,975,1098,0.17119667813281042,0.17465448821411278,0.6701686375321336,0.2535159264215384
30,2011-01-30,Musim Dingin,2011,Januari,Tak Libur,Minggu,Tak Kerja,Sedikit Berawan,0.216522,0.250322,0.722174,0.0739826,140,956,1096,0.19611765992977764,0.2247918948463849,0.7425953727506426,0.10635735406320679
31,2011-01-31,Musim Dingin,2011,Januari,Tak Libur,Senin,Kerja,Berkabut,0.180833,0.18625,0.60375,0.187192,42,1459,1501,0.1516474139621794,0.1406887448374065,0.6208226221079691,0.33974448704757426
32,2011-02-01,Musim Dingin,2011,Februari,Tak Libur,Selasa,Kerja,Berkabut,0.192174,0.23453,0.829565,0.053213,47,1313,1360,0.16577885669014975,0.20406276285515962,0.8530231362467866,0.06353973116941777
33,2011-02-02,Musim Dingin,2011,Februari,Tak Libur,Rabu,Kerja,Berkabut,0.26,0.254417,0.775417,0.264308,72,1454,1526,0.25029338225820486,0.2301671351898542,0.7973439588688945,0.49872317739680744
34,2011-02-03,Musim Dingin,2011,Februari,Tak Libur,Kamis,Kerja,Sedikit Berawan,0.186957,0.177878,0.437826,0.277752,61,1489,1550,0.1592782185884108,0.12969936457964698,0.4502066838046272,0.5264386905595116
35,2011-02-04,Musim Dingin,2011,Februari,Tak Libur,Jumat,Kerja,Berkabut,0.211304,0.228587,0.585217,0.127839,88,1620,1708,0.1896157757789489,0.1962617730233554,0.6017655526992287,0.21738515554311294
36,2011-02-05,Musim Dingin,2011,Februari,Tak Libur,Sabtu,Tak Kerja,Berkabut,0.233333,0.243058,0.929167,0.161079,100,905,1005,0.2170649911792185,0.2152569141736227,0.9554416452442158,0.2859111639876447
37,2011-02-06,Musim Dingin,2011,Februari,Tak Libur,Minggu,Tak Kerja,Sedikit Berawan,0.285833,0.291671,0.568333,0.1418,354,1269,1623,0.28248256839625757,0.27906803964787774,0.5844041131105397,0.24616649140033642
38,2011-02-07,Musim Dingin,2011,Februari,Tak Libur,Senin,Kerja,Sedikit Berawan,0.271667,0.303658,0.738333,0.0454083,120,1592,1712,0.26483103698946564,0.29480259544694165,0.7592113110539845,0.047449931587376946
39,2011-02-08,Musim Dingin,2011,Februari,Tak Libur,Selasa,Kerja,Sedikit Berawan,0.220833,0.198246,0.537917,0.36195,64,1466,1530,0.20148937755611396,0.15643511435151103,0.5531280205655527,0.7000172964263193
40,2011-02-09,Musim Dingin,2011,Februari,Tak Libur,Rabu,Kerja,Berkabut,0.134783,0.144283,0.494783,0.188839,53,1552,1605,0.09426685337466227,0.08560139160312637,0.5087742930591259,0.3431398641807916
41,2011-02-10,Musim Dingin,2011,Februari,Tak Libur,Kamis,Kerja,Sedikit Berawan,0.144348,0.149548,0.437391,0.221935,47,1491,1538,0.1061853129190619,0.09251241490187263,0.44975938303341895,0.4113690090508344
42,2011-02-11,Musim Dingin,2011,Februari,Tak Libur,Jumat,Kerja,Sedikit Berawan,0.189091,0.213509,0.506364,0.10855,149,1597,1746,0.1619372873461472,0.1764698624253504,0.5206827763496144,0.17761986742979846
43,2011-02-12,Musim Dingin,2011,Februari,Tak Libur,Sabtu,Tak Kerja,Sedikit Berawan,0.2225,0.232954,0.544167,0.203367,288,1184,1472,0.2035665413888912,0.2019940500880515,0.5595547557840617,0.37309010036256524
44,2011-02-13,Musim Dingin,2011,Februari,Tak Libur,Minggu,Tak Kerja,Sedikit Berawan,0.316522,0.324113,0.457391,0.260883,397,1192,1589,0.32072256891461404,0.32165254446419805,0.4703249357326478,0.4916623597396918
45,2011-02-14,Musim Dingin,2011,Februari,Tak Libur,Senin,Kerja,Sedikit Berawan,0.415,0.39835,0.375833,0.417908,208,1705,1913,0.44343099118470114,0.41909862929402275,0.38646066838046267,0.8153776568516835
46,2011-02-15,Musim Dingin,2011,Februari,Tak Libur,Selasa,Kerja,Sedikit Berawan,0.266087,0.254274,0.314348,0.291374,140,1675,1815,0.25787808306811183,0.22997942838420926,0.3232370179948586,0.5545211600851258
47,2011-02-16,Musim Dingin,2011,Februari,Tak Libur,Rabu,Kerja,Sedikit Berawan,0.318261,0.3162,0.423478,0.251791,218,1897,2115,0.32288944828186034,0.3112656636735087,0.4354529562982005,0.4729187234948759
48,2011-02-17,Musim Dingin,2011,Februari,Tak Libur,Kamis,Kerja,Sedikit Berawan,0.435833,0.428658,0.505,0.230104,259,2216,2475,0.46938993187351213,0.45888197101071837,0.519280205655527,0.42820983224528025
49,2011-02-18,Musim Dingin,2011,Februari,Tak Libur,Jumat,Kerja,Sedikit Berawan,0.521667,0.511983,0.516667,0.264925,579,2348,2927,0.5763433094515564,0.5682572827615319,0.531277120822622,0.49999515535138866
50,2011-02-19,Musim Dingin,2011,Februari,Tak Libur,Sabtu,Tak Kerja,Sedikit Berawan,0.399167,0.391404,0.187917,0.507463,532,1103,1635,0.423702295945132,0.40998106655269484,0.19323084832904883,1.0
51,2011-02-20,Musim Dingin,2011,Februari,Tak Libur,Minggu,Tak Kerja,Sedikit Berawan,0.285217,0.27733,0.407826,0.223235,639,1173,1812,0.281715002156911,0.2602435410481968,0.41935835475578404,0.41404902743163735
52,2011-02-21,Musim Dingin,2011,Februari,Libur,Senin,Tak Kerja,Berkabut,0.303333,0.284075,0.605,0.307846,195,912,1107,0.30428842746860396,0.2690972641536182,0.6221079691516709,0.5884790545225002
53,2011-02-22,Musim Dingin,2011,Februari,Tak Libur,Selasa,Kerja,Sedikit Berawan,0.182222,0.186033,0.577778,0.195683,74,1376,1450,0.15337817614797877,0.1404039030414278,0.5941161953727506,0.357249130179419
54,2011-02-23,Musim Dingin,2011,Februari,Tak Libur,Rabu,Kerja,Sedikit Berawan,0.221739,0.245717,0.423043,0.094113,139,1778,1917,0.2026182980315166,0.21874721065061536,0.4350056555269923,0.147857232534681
55,2011-02-24,Musim Dingin,2011,Februari,Tak Libur,Kamis,Kerja,Berkabut,0.295652,0.289191,0.697391,0.250496,100,1707,1807,0.2947175244094787,0.27581270483669235,0.7171115681233933,0.47024901287707604
56,2011-02-25,Musim Dingin,2011,Februari,Tak Libur,Jumat,Kerja,Berkabut,0.364348,0.350461,0.712174,0.346539,120,1341,1461,0.38031611268570187,0.3562378515630332,0.7323125964010282,0.6682467092982002
57,2011-02-26,Musim Dingin,2011,Februari,Tak Libur,Sabtu,Tak Kerja,Sedikit Berawan,0.2825,0.282192,0.537917,0.186571,424,1545,1969,0.27832948677979297,0.2666255724401254,0.5531280205655527,0.3384642628825906
58,2011-02-27,Musim Dingin,2011,Februari,Tak Libur,Minggu,Tak Kerja,Sedikit Berawan,0.343478,0.351109,0.68,0.125248,694,1708,2402,0.3543110681805665,0.35708843904595583,0.699228791773779,0.21204367275491254
59,2011-02-28,Musim Dingin,2011,Februari,Tak Libur,Senin,Kerja,Berkabut,0.407273,0.400118,0.876364,0.289686,81,1365,1446,0.4338027698674429,0.42141936798199686,0.901145501285347,0.551041259295283
60,2011-03-01,Musim Dingin,2011,Maret,Tak Libur,Selasa,Kerja,Sedikit Berawan,0.266667,0.263879,0.535,0.216425,137,1714,1851,0.25860079154022386,0.24258728760252984,0.5501285347043702,0.400009854221431
61,2011-03-02,Musim Dingin,2011,Maret,Tak Libur,Rabu,Kerja,Sedikit Berawan,0.335,0.320071,0.449583,0.307833,231,1903,2134,0.3437470639968321,0.3163468737759678,0.46229614395886887,0.5884522543386922
62,2011-03-03,Musim Dingin,2011,Maret,Tak Libur,Kamis,Kerja,Sedikit Berawan,0.198333,0.200133,0.318333,0.225754,123,1562,1685,0.1734532730345258,0.15891205660502178,0.3273347043701799,0.41924207843259337
63,2011-03-04,Musim Dingin,2011,Maret,Tak Libur,Jumat,Kerja,Berkabut,0.261667,0.255679,0.610417,0.203346,214,1730,1944,0.25237054609098203,0.2318236805655461,0.627678149100257,0.3730468077579523
64,2011-03-05,Musim Dingin,2011,Maret,Tak Libur,Sabtu,Tak Kerja,Berkabut,0.384167,0.378779,0.789167,0.251871,640,1437,2077,0.40501155959740653,0.3934090496207534,0.8114827763496143,0.4730836477029254
65,2011-03-06,Musim Dingin,2011,Maret,Tak Libur,Minggu,Tak Kerja,Berkabut,0.376522,0.366252,0.948261,0.343287,114,491,605,0.3954855143055159,0.37696567091925404,0.9750755784061697,0.6615425402409915
66,2011-03-07,Musim Dingin,2011,Maret,Tak Libur,Senin,Kerja,Sedikit Berawan,0.261739,0.238461,0.551304,0.341352,244,1628,1872,0.2524602616254511,0.20922273105788924,0.5668935732647815,0.6575534359587962
67,2011-03-08,Musim Dingin,2011,Maret,Tak Libur,Selasa,Kerja,Sedikit Berawan,0.2925,0.3024,0.420833,0.12065,316,1817,2133,0.29078997767827663,0.2931513006112678,0.4327331619537275,0.2025646538972724
68,2011-03-09,Musim Dingin,2011,Maret,Tak Libur,Rabu,Kerja,Berkabut,0.295833,0.286608,0.775417,0.22015,191,1700,1891,0.29494305929474124,0.2724221686200425,0.7973439588688945,0.4076891376587319
69,2011-03-10,Musim Dingin,2011,Maret,Tak Libur,Kamis,Kerja,Petir/Hujan/Salju,0.389091,0.385668,0.0,0.261877,46,577,623,0.41114710531581994,0.40245179216682436,0.0,0.49371154302470593
70,2011-03-11,Musim Dingin,2011,Maret,Tak Libur,Jumat,Kerja,Berkabut,0.316522,0.305,0.649565,0.23297,247,1730,1977,0.32072256891461404,0.2965641516229944,0.6679331619537274,0.43411824199865057
71,2011-03-12,Musim Dingin,2011,Maret,Tak Libur,Sabtu,Tak Kerja,Sedikit Berawan,0.329167,0.32575,0.594583,0.220775,724,1408,2132,0.33647885965574653,0.3238013279665813,0.6113964010282775,0.40897760803411787
72,2011-03-13,Musim Dingin,2011,Maret,Tak Libur,Minggu,Tak Kerja,Sedikit Berawan,0.384348,0.380091,0.527391,0.270604,982,1435,2417,0.40523709448266915,0.39513122674667084,0.5423043701799486,0.5117027125702964
73,2011-03-14,Musim Dingin,2011,Maret,Tak Libur,Senin,Kerja,Sedikit Berawan,0.325217,0.332,0.496957,0.136926,359,1687,2046,0.33155696575084553,0.3320052967447702,0.5110097686375321,0.2361184840249258
74,2011-03-15,Musim Dingin,2011,Maret,Tak Libur,Selasa,Kerja,Berkabut,0.317391,0.318178,0.655652,0.184309,289,1767,2056,0.3218053855736922,0.31386205571243,0.6741922879177378,0.33380103089999347
75,2011-03-16,Musim Dingin,2011,Maret,Tak Libur,Rabu,Kerja,Berkabut,0.365217,0.36693,0.776522,0.203117,321,1871,2192,0.3813989293447801,0.3778556374523119,0.798480205655527,0.37257471221241084
76,2011-03-17,Musim Dingin,2011,Maret,Tak Libur,Kamis,Kerja,Sedikit Berawan,0.415,0.410333,0.602917,0.209579,424,2320,2744,0.44343099118470114,0.4348279345530687,0.6199660668380462,0.3858964651176023
77,2011-03-18,Musim Dingin,2011,Maret,Tak Libur,Jumat,Kerja,Sedikit Berawan,0.54,0.527009,0.525217,0.231017,884,2355,3239,0.5991871274157465,0.5879809363393024,0.5400688946015424,0.43009202976964417
78,2011-03-19,Musim Dingin,2011,Maret,Tak Libur,Sabtu,Tak Kerja,Sedikit Berawan,0.4725,0.466525,0.379167,0.368167,1424,1693,3117,0.515078813850982,0.5085875207265067,0.3898889460154241,0.7128339689443595
79,2011-03-20,Musim Dingin,2011,Maret,Tak Libur,Minggu,Tak Kerja,Sedikit Berawan,0.3325,0.32575,0.47375,0.207721,1047,1424,2471,0.3406319412722112,0.3238013279665813,0.487146529562982,0.38206610038565464
80,2011-03-21,Musim Semi,2011,Maret,Tak Libur,Senin,Kerja,Berkabut,0.430435,0.409735,0.737391,0.288783,401,1676,2077,0.4626637588865106,0.4340429788203717,0.7582426735218509,0.5491796772969253
81,2011-03-22,Musim Semi,2011,Maret,Tak Libur,Selasa,Kerja,Sedikit Berawan,0.441667,0.440642,0.624583,0.22575,460,2243,2703,0.47665938226368737,0.47461258890476876,0.6422447300771208,0.41923383222219085
82,2011-03-23,Musim Semi,2011,Maret,Tak Libur,Rabu,Kerja,Berkabut,0.346957,0.337939,0.839565,0.234261,203,1918,2121,0.35864607296414897,0.3398010360365563,0.863305912596401,0.43677970640604796
83,2011-03-24,Musim Semi,2011,Maret,Tak Libur,Kamis,Kerja,Berkabut,0.285,0.270833,0.805833,0.243787,166,1699,1865,0.28144460950441386,0.2517153514238939,0.8286200514138817,0.456418056479532
84,2011-03-25,Musim Semi,2011,Maret,Tak Libur,Jumat,Kerja,Sedikit Berawan,0.264167,0.256312,0.495,0.230725,300,1910,2210,0.2554856688156029,0.23265457852340105,0.5089974293059125,0.4294900564102639
85,2011-03-26,Musim Semi,2011,Maret,Tak Libur,Sabtu,Tak Kerja,Sedikit Berawan,0.265833,0.257571,0.394167,0.209571,981,1515,2496,0.2575615865992903,0.23430718599407946,0.4053131105398457,0.3858799726967974
86,2011-03-27,Musim Semi,2011,Maret,Tak Libur,Minggu,Tak Kerja,Berkabut,0.253043,0.250339,0.493913,0.1843,472,1221,1693,0.2416246187401298,0.22481420964146154,0.5078796915167095,0.3337824769265879
87,2011-03-28,Musim Semi,2011,Maret,Tak Libur,Senin,Kerja,Sedikit Berawan,0.264348,0.257574,0.302174,0.212204,222,1806,2028,0.25571120370086553,0.23431112389909303,0.310718766066838,0.39130804069422376
88,2011-03-29,Musim Semi,2011,Maret,Tak Libur,Selasa,Kerja,Sedikit Berawan,0.3025,0.292908,0.314167,0.226996,317,2108,2425,0.30325046857676025,0.2806917691484569,0.32305089974293055,0.4218025267625605
89,2011-03-30,Musim Semi,2011,Maret,Tak Libur,Rabu,Kerja,Berkabut,0.3,0.29735,0.646667,0.172888,168,1368,1536,0.30013534585213936,0.28652249383849127,0.6649532133676093,0.3102560386483389
90,2011-03-31,Musim Semi,2011,Maret,Tak Libur,Kamis,Kerja,Petir/Hujan/Salju,0.268333,0.257575,0.918333,0.217646,179,1506,1685,0.26067670932391124,0.2343124365340975,0.9443012853470436,0.4025270099467852
91,2011-04-01,Musim Semi,2011,April,Tak Libur,Jumat,Kerja,Berkabut,0.3,0.283454,0.68625,0.258708,307,1920,2227,0.30013534585213936,0.2682821178158173,0.705655526992288,0.48717848283334847
92,2011-04-02,Musim Semi,2011,April,Tak Libur,Sabtu,Tak Kerja,Berkabut,0.315,0.315637,0.65375,0.197146,898,1354,2252,0.3188260821998648,0.31052665016596953,0.6722365038560412,0.36026518163412263
93,2011-04-03,Musim Semi,2011,April,Tak Libur,Minggu,Tak Kerja,Sedikit Berawan,0.378333,0.378767,0.48,0.182213,1651,1598,3249,0.3977421092072312,0.39339329800069933,0.49357326478149094,0.3294800166490989
94,2011-04-04,Musim Semi,2011,April,Tak Libur,Senin,Kerja,Sedikit Berawan,0.573333,0.542929,0.42625,0.385571,734,2381,3115,0.640721681727662,0.608878085611105,0.4383033419023136,0.7487132304055095
95,2011-04-05,Musim Semi,2011,April,Tak Libur,Selasa,Kerja,Berkabut,0.414167,0.39835,0.642083,0.388067,167,1628,1795,0.4423930322928575,0.41909862929402275,0.6602395886889459,0.7538588656966513
96,2011-04-06,Musim Semi,2011,April,Tak Libur,Rabu,Kerja,Sedikit Berawan,0.390833,0.387608,0.470833,0.263063,413,2395,2808,0.41331772283033574,0.40499830407557413,0.48414704370179945,0.4961565444090384
97,2011-04-07,Musim Semi,2011,April,Tak Libur,Kamis,Kerja,Sedikit Berawan,0.4375,0.433696,0.602917,0.162312,571,2570,3141,0.47146709570628936,0.46549502616344085,0.6199660668380462,0.2884530583442063
98,2011-04-08,Musim Semi,2011,April,Tak Libur,Jumat,Kerja,Berkabut,0.335833,0.324479,0.83625,0.226992,172,1299,1471,0.34478502288867574,0.32213296887584886,0.8598971722365039,0.421794280552158
99,2011-04-09,Musim Semi,2011,April,Tak Libur,Sabtu,Tak Kerja,Berkabut,0.3425,0.341529,0.8775,0.133083,879,1576,2455,0.35309243217069486,0.344513395702748,0.9023136246786632,0.2281959373807521
100,2011-04-10,Musim Semi,2011,April,Tak Libur,Minggu,Tak Kerja,Berkabut,0.426667,0.426737,0.8575,0.146767,1188,1707,2895,0.45796864591596204,0.4563603991670543,0.8817480719794344,0.2564062231676045
101,2011-04-11,Musim Semi,2011,April,Tak Libur,Senin,Kerja,Berkabut,0.595652,0.565217,0.716956,0.324474,855,2493,3348,0.6685322513639875,0.6381340945916286,0.7372298200514139,0.622758551165571
102,2011-04-12,Musim Semi,2011,April,Tak Libur,Selasa,Kerja,Berkabut,0.5025,0.493054,0.739167,0.274879,257,1777,2034,0.5524602865464329,0.5434104147611581,0.7600688946015424,0.520515849937937
103,2011-04-13,Musim Semi,2011,April,Tak Libur,Rabu,Kerja,Berkabut,0.4125,0.417283,0.819167,0.250617,209,1953,2162,0.44031586846008025,0.4439507478344147,0.8423311053984576,0.4704984607417508
104,2011-04-14,Musim Semi,2011,April,Tak Libur,Kamis,Kerja,Sedikit Berawan,0.4675,0.462742,0.540417,0.1107,529,2738,3267,0.5088485684017402,0.5036218225044445,0.5556987146529563,0.1820522055211265
105,2011-04-15,Musim Semi,2011,April,Libur,Jumat,Tak Kerja,Sedikit Berawan,0.446667,0.441913,0.67125,0.226375,642,2484,3126,0.48288962771292926,0.47628094799550125,0.6902313624678663,0.4205223025975769
106,2011-04-16,Musim Semi,2011,April,Tak Libur,Sabtu,Tak Kerja,Petir/Hujan/Salju,0.430833,0.425492,0.888333,0.340808,121,674,795,0.46315968642427036,0.454726168586439,0.9134529562982006,0.6564319513440602
